TimeStamp,Latitude,Longitude,BrushRPM,PumpRPM
2026-01-15T09:00:00.000Z,55.684580,37.504178,529,0
2026-01-15T09:00:05.004Z,55.684598,37.504213,490,0
2026-01-15T09:00:15.097Z,55.684640,37.504290,507,0
2026-01-15T09:00:20.102Z,55.684663,37.504321,527,0
2026-01-15T09:00:25.107Z,55.684690,37.504340,487,0
2026-01-15T09:00:30.111Z,55.684711,37.504365,526,0
2026-01-15T09:00:36.116Z,55.684713,37.504396,495,0
2026-01-15T09:00:41.123Z,55.684730,37.504423,567,0
2026-01-15T09:00:46.128Z,55.684753,37.504465,526,0
2026-01-15T09:00:51.132Z,55.684776,37.504493,527,0
2026-01-15T09:00:56.137Z,55.684793,37.504523,554,0
2026-01-15T09:01:01.142Z,55.684823,37.504545,538,0
2026-01-15T09:01:06.147Z,55.684861,37.504580,513,0
2026-01-15T09:01:11.151Z,55.684901,37.504600,547,0
2026-01-15T09:01:16.156Z,55.684926,37.504606,517,0
2026-01-15T09:01:21.160Z,55.684946,37.504623,542,0
2026-01-15T09:01:26.164Z,55.684973,37.504633,493,0
2026-01-15T09:01:31.168Z,55.685001,37.504641,526,0
2026-01-15T09:01:36.174Z,55.685023,37.504691,547,0
2026-01-15T09:01:41.179Z,55.685028,37.504745,528,0
2026-01-15T09:01:46.184Z,55.685046,37.504785,521,0
2026-01-15T09:01:51.189Z,55.685063,37.504818,555,0
2026-01-15T09:01:56.195Z,55.685083,37.504846,529,0
2026-01-15T09:02:01.199Z,55.685110,37.504878,510,0
2026-01-15T09:02:07.206Z,55.685121,37.504905,523,0
2026-01-15T09:02:12.210Z,55.685138,37.504910,535,0
2026-01-15T09:02:17.218Z,55.685160,37.504908,540,0
2026-01-15T09:02:22.223Z,55.685191,37.504913,504,0
2026-01-15T09:02:27.226Z,55.685215,37.504908,499,0
2026-01-15T09:02:32.232Z,55.685251,37.504901,523,0
2026-01-15T09:02:37.238Z,55.685275,37.504931,538,0
2026-01-15T09:02:42.243Z,55.685303,37.504965,558,0
2026-01-15T09:02:47.248Z,55.685316,37.505000,541,0
2026-01-15T09:02:52.253Z,55.685336,37.505021,530,0
2026-01-15T09:02:57.257Z,55.685345,37.505061,533,0
2026-01-15T09:03:02.263Z,55.685355,37.505078,514,0
2026-01-15T09:03:07.267Z,55.685365,37.505093,505,0
2026-01-15T09:03:12.272Z,55.685385,37.505100,563,0
2026-01-15T09:03:17.277Z,55.685405,37.505116,512,0
2026-01-15T09:03:22.280Z,55.685455,37.505163,505,0
2026-01-15T09:03:27.284Z,55.685475,37.505196,523,0
2026-01-15T09:03:33.291Z,55.685500,37.505200,529,0
2026-01-15T09:03:38.296Z,55.685520,37.505216,543,0
2026-01-15T09:03:43.301Z,55.685540,37.505238,529,0
2026-01-15T09:03:48.305Z,55.685560,37.505248,540,0
2026-01-15T09:03:53.309Z,55.685581,37.505255,558,0
2026-01-15T09:03:58.315Z,55.685583,37.505281,532,0
2026-01-15T09:04:03.319Z,55.685606,37.505301,535,0
2026-01-15T09:04:08.323Z,55.685620,37.505336,503,0
2026-01-15T09:04:13.326Z,55.685648,37.505375,283,0
2026-01-15T09:04:18.330Z,55.685678,37.505401,481,0
2026-01-15T09:04:23.334Z,55.685698,37.505423,516,0
2026-01-15T09:04:28.339Z,55.685716,37.505456,506,0
2026-01-15T09:04:33.344Z,55.685731,37.505483,536,0
2026-01-15T09:04:38.349Z,55.685735,37.505523,424,0
2026-01-15T09:04:43.354Z,55.685738,37.505555,489,0
2026-01-15T09:04:48.358Z,55.685730,37.505586,534,0
2026-01-15T09:04:52.363Z,55.685730,37.505586,0,0
2026-01-15T09:04:53.364Z,55.685723,37.505601,0,0
2026-01-15T09:04:59.370Z,55.685730,37.505623,0,0
2026-01-15T09:05:19.389Z,55.685738,37.505626,0,0
2026-01-15T09:05:24.395Z,55.685785,37.505701,0,0
2026-01-15T09:05:34.405Z,55.685760,37.505651,0,0
2026-01-15T09:05:39.409Z,55.685730,37.505608,0,0
2026-01-15T09:05:44.413Z,55.685706,37.505581,0,0
2026-01-15T09:05:49.417Z,55.685718,37.505593,0,0
2026-01-15T09:05:54.422Z,55.685736,37.505596,0,0
2026-01-15T09:05:59.428Z,55.685745,37.505626,0,0
2026-01-15T09:06:09.438Z,55.685765,37.505670,0,0
2026-01-15T09:06:14.444Z,55.685790,37.505718,0,0
2026-01-15T09:06:19.449Z,55.685805,37.505731,0,0
2026-01-15T09:06:25.455Z,55.685818,37.505746,0,0
2026-01-15T09:06:30.460Z,55.685821,37.505748,464,0
2026-01-15T09:06:40.477Z,55.685798,37.505748,466,0
2026-01-15T09:06:45.482Z,55.685775,37.505745,503,0
2026-01-15T09:06:50.488Z,55.685750,37.505755,536,0
2026-01-15T09:06:55.495Z,55.685730,37.505770,548,0
2026-01-15T09:07:00.501Z,55.685685,37.505751,530,0
2026-01-15T09:07:05.506Z,55.685650,37.505736,491,0
2026-01-15T09:07:10.512Z,55.685618,37.505728,551,0
2026-01-15T09:07:15.528Z,55.685585,37.505725,529,0
2026-01-15T09:07:20.535Z,55.685545,37.505720,560,0
2026-01-15T09:07:25.540Z,55.685513,37.505708,506,0
2026-01-15T09:07:30.545Z,55.685481,37.505698,515,0
2026-01-15T09:07:35.551Z,55.685441,37.505670,523,0
2026-01-15T09:07:40.556Z,55.685410,37.505645,492,0
2026-01-15T09:07:45.561Z,55.685390,37.505650,507,0
2026-01-15T09:07:50.568Z,55.685358,37.505655,541,0
2026-01-15T09:07:56.586Z,55.685326,37.505670,518,0
2026-01-15T09:08:01.590Z,55.685288,37.505665,544,0
2026-01-15T09:08:06.596Z,55.685253,37.505665,536,0
2026-01-15T09:08:11.599Z,55.685211,37.505668,536,0
2026-01-15T09:08:16.604Z,55.685163,37.505688,518,0
2026-01-15T09:08:21.609Z,55.685115,37.505713,543,0
2026-01-15T09:08:26.614Z,55.685075,37.505733,525,0
2026-01-15T09:08:31.617Z,55.685043,37.505756,531,0
2026-01-15T09:08:36.621Z,55.685000,37.505785,544,0
2026-01-15T09:08:41.628Z,55.684976,37.505810,540,0
2026-01-15T09:08:46.631Z,55.684941,37.505820,548,0
2026-01-15T09:08:51.635Z,55.684910,37.505820,538,0
2026-01-15T09:08:56.640Z,55.684878,37.505835,553,0
2026-01-15T09:09:01.643Z,55.684840,37.505858,499,0
2026-01-15T09:09:03.648Z,55.684840,37.505858,0,0
2026-01-15T09:09:06.650Z,55.684833,37.505871,0,0
2026-01-15T09:09:16.663Z,55.684840,37.505898,0,0
2026-01-15T09:09:23.673Z,55.684843,37.505898,463,0
2026-01-15T09:09:27.679Z,55.684836,37.505906,487,0
2026-01-15T09:09:32.684Z,55.684811,37.505931,537,0
2026-01-15T09:09:37.687Z,55.684786,37.505955,479,0
2026-01-15T09:09:42.695Z,55.684768,37.505976,477,0
2026-01-15T09:09:47.701Z,55.684735,37.505983,522,0
2026-01-15T09:09:52.707Z,55.684703,37.506003,523,0
